1;Joao Pedro Ferreira;1ª Travessa Edalberto dos Santos, 4467, Venâncio Aires, RS;(51) 686-7891
2;Louise Ferreira;2ª Travessa Edalberto dos Santos, 9920, Venâncio Aires, RS;(51) 431-8155
3;Isabel De Angeli;3ª Travessa Edalberto dos Santos, 5155, Venâncio Aires, RS;(51) 694-8053
4;Henrique Zandonadi;3ª Travessa Maria Mayer, 9358, Venâncio Aires, RS;(51) 444-4594
5;Arthur Henrique Altoe;Acampamento Acaricuara, 1504, Venâncio Aires, RS;(51) 599-9195
6;Maya Sossai;Acesso Andorinha Cristal, 7917, Venâncio Aires, RS;(51) 574-1739
7;Milena Tosi;Acesso Anum-Preto, 7446, Venâncio Aires, RS;(51) 214-9727
8;Tomas de Almeida;Acesso Araponga Martelo, 1999, Venâncio Aires, RS;(51) 439-6389
9;Arthur Henrique Calmon;Acesso Arara Azul, 5932, Venâncio Aires, RS;(51) 279-9114
10;Eduarda de Souza;Acesso Bem-te-vi Amarelo, 711, Venâncio Aires, RS;(51) 297-2032
11;Vitor Hugo Sossai detto Pegorer;Acesso Canário Belga, 3901, Venâncio Aires, RS;(51) 252-5518
12;Ana Cecilia Caliman;Acesso Coan do Brejo, 6745, Venâncio Aires, RS;(51) 200-0151
13;Stella Tosi;Acesso Curió Cristal, 3458, Venâncio Aires, RS;(51) 410-5017
14;Pietro Silva;Acesso Gaivota Cinza, 7054, Venâncio Aires, RS;(51) 473-3296
15;Emanuelly Zanette;Acesso Garça Branca, 4773, Venâncio Aires, RS;(51) 537-3677
16;Felipe Braga;Acesso Gavião Real, 8224, Venâncio Aires, RS;(51) 636-9116
17;Arthur Zanette;Acesso Juriti Marrom, 7620, Venâncio Aires, RS;(51) 209-8176
18;Luan Alves;Acesso Pardal Cinza, 3468, Venâncio Aires, RS;(51) 513-3073
19;Leonardo de Almeida;Acesso Pavão Real, 4214, Venâncio Aires, RS;(51) 432-4158
20;Giulia De Angeli;Acesso Pintassilgo Rosa, 9959, Venâncio Aires, RS;(51) 494-2300
21;Livia Botteon;Acesso Pixoxó da Serra, 7686, Venâncio Aires, RS;(51) 228-8846
22;Davi Lucas Ferreira;Acesso Sabiá Laranjeira, 1446, Venâncio Aires, RS;(51) 226-5640
23;Theo Gomes;Acesso Tucano Preto, 139, Venâncio Aires, RS;(51) 548-0975
24;Valentina Sossai detto Pegorer;Acesso Uirapuru do Sertão, 4782, Venâncio Aires, RS;(51) 636-1212
25;Maria Vitoria Zampirolli;Rua Afonso Bocchiglieri, 4274, Venâncio Aires, RS;(51) 207-1673
26;Caua Caliman;Rua Afonso Schmidt, 9579, Venâncio Aires, RS;(51) 458-7210
27;Luana Zandonadi;Rua Agenor Couto Magalhães, 8787, Venâncio Aires, RS;(51) 553-5960
28;Emilly Botteon;Rua Aristotenes Cláudio Sbrigh, 8263, Venâncio Aires, RS;(51) 319-3733
29;Andre Calmon;Rua Barros, 7605, Venâncio Aires, RS;(51) 529-5761
30;Maria Isis Calmon;Rua Barão de Limeira, 5126, Venâncio Aires, RS;(51) 374-8541
31;Isaac Botteon;Rua Barão de Piracicaba, 4980, Venâncio Aires, RS;(51) 480-2962
32;Ricardo Della Coletta;Rua Calcutá, 5115, Venâncio Aires, RS;(51) 498-1222
33;Davi Luiz de Souza;Rua Calicut, 2610, Venâncio Aires, RS;(51) 693-4589
34;Breno Agrizzi;Rua Campinas, 8119, Venâncio Aires, RS;(51) 587-2545
35;Catarina da Silva;Rua Canuri, 1667, Venâncio Aires, RS;(51) 612-8327
36;Isaac Salvador;Rua Carlos Marchais, 4947, Venâncio Aires, RS;(51) 482-6583
37;Matheus Tosi;Rua Casa Branca, 3039, Venâncio Aires, RS;(51) 611-5816
38;Manuela De Angeli;Rua Caviunas, 8203, Venâncio Aires, RS;(51) 225-3331
39;Maria Clara Caliman;Rua Cleveland, 5408, Venâncio Aires, RS;(51) 410-2710
40;Cecilia Zampirolli;Rua Coqueiros, 7553, Venâncio Aires, RS;(51) 371-4441
41;Daniel Silva;Rua Cravos, 2834, Venâncio Aires, RS;(51) 349-2857
42;Daniel Gomes;Rua Dino Bueno, 1603, Venâncio Aires, RS;(51) 509-5732
43;Enzo Miguel Sossai;Rua Doutor Sílvio de Campos, 6899, Venâncio Aires, RS;(51) 452-2816
44;Joao Lucas Pereira;Rua Eduardo Prado, 1252, Venâncio Aires, RS;(51) 240-4344
45;Vicente Salvador;Rua Fernão Cardim, 4022, Venâncio Aires, RS;(51) 259-3508
46;Heitor de Almeida;Rua Franca, 7254, Venâncio Aires, RS;(51) 320-7676
47;Lorena de Almeida;Rua Gabriel Monteiro da Silva, 1462, Venâncio Aires, RS;(51) 406-9610
48;Ana Livia Falqueto;Rua Glete, 9348, Venâncio Aires, RS;(51) 593-2112
49;Lucca Pesca;Rua Guaicanãs dos, 7056, Venâncio Aires, RS;(51) 519-0575
50;Alicia Silva;Rua Guairacá, 2102, Venâncio Aires, RS;(51) 634-2973
51;Olivia Silva;Rua Guilherme Renato Sabrigh, 3361, Venâncio Aires, RS;(51) 418-2353
52;Isaac De Angeli;Rua Ibiracemas, 107, Venâncio Aires, RS;(51) 353-9264
53;Mathias Falqueto;Rua Iraé, 9589, Venâncio Aires, RS;(51) 273-8558
54;Gabriel Braga;Rua Itu, 2935, Venâncio Aires, RS;(51) 265-1547
55;Vicente De Angeli;Rua Itupiranga, 7427, Venâncio Aires, RS;(51) 281-3427
56;Levi de Oliveira;Rua Jacarandas, 5798, Venâncio Aires, RS;(51) 407-2406
57;Camila Ferreira;Rua Jauaperi, 1274, Venâncio Aires, RS;(51) 507-5272
58;Alice Botteon;Rua Jaú, 2143, Venâncio Aires, RS;(51) 629-6076
59;Samuel Caliman;Rua Jequitibas, 4595, Venâncio Aires, RS;(51) 490-7631
60;Luiz Henrique Fernandes;Rua Joaquim Eugênio de Lima, 8425, Venâncio Aires, RS;(51) 517-0666
61;Luiz Gustavo Zandonadi;Rua Joaquim José de Mattos, 9301, Venâncio Aires, RS;(51) 587-5593
62;Rafael de Almeida;Rua José Lopes de Almeida, 3521, Venâncio Aires, RS;(51) 218-1154
63;Larissa Altoe;Rua Lorena, 8090, Venâncio Aires, RS;(51) 502-6887
64;Maite Fernandes;Rua Macieira da Maia, 3136, Venâncio Aires, RS;(51) 313-5261
65;Mirella Zanette;Rua Maruás, 8621, Venâncio Aires, RS;(51) 444-8142
66;Ana Luiza Zandonadi;Rua Messina, 5169, Venâncio Aires, RS;(51) 473-4697
67;Ana Livia Sossai;Rua Ministro Rocha Azevedo, 5138, Venâncio Aires, RS;(51) 498-2313
68;Julia Sossai detto Pegorer;Rua Mognos, 4594, Venâncio Aires, RS;(51) 494-8356
69;Davi Luiz de Almeida;Rua Nice, 277, Venâncio Aires, RS;(51) 691-6381
70;Eloah Salvador;Rua Nothmann, 7458, Venâncio Aires, RS;(51) 696-7696
71;Yago de Almeida;Rua Olga, 8373, Venâncio Aires, RS;(51) 453-0671
72;Maria Cecilia Fernandes;Rua Paineiras, 6785, Venâncio Aires, RS;(51) 504-4249
73;Benjamin de Souza;Rua Primeiro-Sargento Basílio Nogueira da Costa, 399, Venâncio Aires, RS;(51) 290-7957
74;Agatha Gomes;Rua Primeiro-Sargento Osmar Cortez Claro, 9430, Venâncio Aires, RS;(51) 660-7629
75;Kaique Sossai;Rua Rainha Santa, 1072, Venâncio Aires, RS;(51) 586-5207
76;Clara Botteon;Rua Raja Gabaglia, 4281, Venâncio Aires, RS;(51) 664-5031
77;Pietro Costalonga;Rua Ribeiro da Silva, 1848, Venâncio Aires, RS;(51) 228-0233
78;Liz Pesca;Rua Ribeirão Preto, 1006, Venâncio Aires, RS;(51) 362-4482
79;Maria Alice de Souza;Rua Rio Claro, 9230, Venâncio Aires, RS;(51) 450-6264
80;Raul de Souza;Rua Rodrigo de Brum, 2811, Venâncio Aires, RS;(51) 649-1102
81;Thiago Ferreira;Rua Rubião Júnior, 5106, Venâncio Aires, RS;(51) 301-9984
82;Lucas Gabriel Falqueto;Rua Santo Amaro, 1632, Venâncio Aires, RS;(51) 348-0246
83;Oliver Agrizzi;Rua Santos, 421, Venâncio Aires, RS;(51) 531-0980
84;Kaique Altoe;Rua Sarutaiá, 7110, Venâncio Aires, RS;(51) 442-5326
85;Fernanda Braga;Rua Segundo-Sargento Ananias Holanda de Oliveira, 5784, Venâncio Aires, RS;(51) 304-1277
86;Maria Silva;Rua Segundo-Sargento Andiras Nogueira de Abreu, 7610, Venâncio Aires, RS;(51) 686-8394
87;Maria Fernanda de Almeida;Rua Segundo-Sargento Fábio Pavani, 1104, Venâncio Aires, RS;(51) 604-7067
88;Ana Beatriz de Souza;Rua Segundo-Sargento Névio Baracho dos Santos, 7970, Venâncio Aires, RS;(51) 371-7404
89;Bianca De Angeli;Rua Segundo-Sargento Rubens Leite, 2617, Venâncio Aires, RS;(51) 606-5577
90;Mariana Zandonadi;Rua Sorimãs, 2739, Venâncio Aires, RS;(51) 327-4119
91;Pietra da Silva;Rua Subtenente-Aviador Francisco Hierro, 871, Venâncio Aires, RS;(51) 584-2148
92;Milena Gomes;Rua Suzana, 5992, Venâncio Aires, RS;(51) 322-1579
93;Antonio Fernandes;Rua Terceiro-Sargento Alcides de Oliveira, 1058, Venâncio Aires, RS;(51) 335-6452
94;Maria Luiza da Silva;Rua Thereza T. Sbrighi, 7269, Venâncio Aires, RS;(51) 232-3227
95;Mirella de Souza;Rua Tietê, 1398, Venâncio Aires, RS;(51) 307-6937
96;Vicente Pesca;Rua Tirió, 904, Venâncio Aires, RS;(51) 458-9839
97;Allana Della Coletta;Rua Uananá, 3624, Venâncio Aires, RS;(51) 389-5760
98;Carlos Eduardo Sossai;Rua Uapixana, 9059, Venâncio Aires, RS;(51) 363-2624
99;Liz Caliman;Rua Vicente Pinzon, 4919, Venâncio Aires, RS;(51) 650-2319
100;Maite De Angeli;Rua das Amoreiras, 4246, Venâncio Aires, RS;(51) 590-6193
101;Esther Della Coletta;Rua das Andorinhas, 2564, Venâncio Aires, RS;(51) 675-2038
102;Bruna Salvador;Rua das Begônias, 5950, Venâncio Aires, RS;(51) 410-2288
103;Fernanda Della Coletta;Rua das Boninas, 5837, Venâncio Aires, RS;(51) 224-5216
104;Mariana Braga;Rua das Cerejeiras, 2053, Venâncio Aires, RS;(51) 392-9455
105;Henry Della Coletta;Rua das Limeiras, 4432, Venâncio Aires, RS;(51) 431-3849
106;Maria Alice Silva;Rua das Palmeiras, 781, Venâncio Aires, RS;(51) 581-4690
107;Francisco Zanette;Rua das Pitangueiras, 7606, Venâncio Aires, RS;(51) 338-5091
108;Otavio Zampirolli;Rua das Quaresmeiras, 6907, Venâncio Aires, RS;(51) 310-7612
109;Kaique Tosi;Rua das Roseiras, 4960, Venâncio Aires, RS;(51) 290-4541
110;Agatha Della Coletta;Rua do Bem-te-vi, 5614, Venâncio Aires, RS;(51) 470-0138
111;Rebeca Sossai;Rua do Café, 3410, Venâncio Aires, RS;(51) 433-4678
112;Caua Altoe;Rua do Castelinho, 776, Venâncio Aires, RS;(51) 277-4633
113;Tomas da Costa;Rua do Conde, 1257, Venâncio Aires, RS;(51) 201-9773
114;Maria Luiza Zandonadi;Rua do Feudo, 5998, Venâncio Aires, RS;(51) 401-8117
115;Ryan Braga;Rua do Imperador, 8744, Venâncio Aires, RS;(51) 670-4410
116;Francisco De Angeli;Rua dos Aicás, 6838, Venâncio Aires, RS;(51) 460-4247
117;Henrique Braga;Rua dos Anapurus, 5788, Venâncio Aires, RS;(51) 201-9346
118;Maria Julia Salvador;Rua dos Apetupás, 511, Venâncio Aires, RS;(51) 320-2279
119;Ayla Zampirolli;Rua dos Arapanés, 2185, Venâncio Aires, RS;(51) 616-2845
120;Ana Sophia Falqueto;Rua dos Araés, 3154, Venâncio Aires, RS;(51) 228-4278
121;Enzo de Oliveira;Rua dos Auetis, 5532, Venâncio Aires, RS;(51) 623-8982
122;Clarice da Costa;Rua dos Beija Flores, 6340, Venâncio Aires, RS;(51) 678-6550
123;Isabelly Gomes;Rua dos Beija-Flor, 2334, Venâncio Aires, RS;(51) 562-5645
124;Fernanda de Oliveira;Rua dos Camaiurás, 1779, Venâncio Aires, RS;(51) 604-2914
125;Henry Braga;Rua dos Canários, 6791, Venâncio Aires, RS;(51) 460-3002
126;Davi Lucca de Oliveira;Rua dos Cardeais, 8426, Venâncio Aires, RS;(51) 301-5202
127;Ayla Agrizzi;Rua dos Ciprestes, 9307, Venâncio Aires, RS;(51) 448-2052
128;Augusto Salvador;Rua dos Contadores, 2670, Venâncio Aires, RS;(51) 458-0706
129;Davi Miguel Pesca;Rua dos Eucalíptos, 5421, Venâncio Aires, RS;(51) 498-7284
130;Noah Costalonga;Rua dos Guaiases, 1064, Venâncio Aires, RS;(51) 285-0151
131;Lucca de Souza;Rua dos Guaicanãs, 5696, Venâncio Aires, RS;(51) 231-7461
132;Maria Alice Fernandes;Rua dos Guainumbis, 1082, Venâncio Aires, RS;(51) 347-8611
133;Lais de Oliveira;Rua dos Guaiós, 3441, Venâncio Aires, RS;(51) 560-4536
134;Kaue Zampirolli;Rua dos Guaramomis, 8222, Venâncio Aires, RS;(51) 600-1752
135;Calebe Tosi;Rua dos Guatás, 8823, Venâncio Aires, RS;(51) 637-6529
136;Joao Miguel Sossai;Rua dos Indígenas, 7694, Venâncio Aires, RS;(51) 363-8724
137;Larissa Sossai;Rua dos Ipês, 6105, Venâncio Aires, RS;(51) 321-1473
138;Erick Zampirolli;Rua dos Jambos, 8919, Venâncio Aires, RS;(51) 252-4442
139;Joaquim Zampirolli;Rua dos Jaúnas, 1823, Venâncio Aires, RS;(51) 414-3887
140;Agatha Falqueto;Rua dos Jurupis, 7849, Venâncio Aires, RS;(51) 624-4955
141;Eloah Caliman;Rua dos Maracatins, 5524, Venâncio Aires, RS;(51) 407-0059
142;Eduarda Zandonadi;Rua dos Marfins, 3342, Venâncio Aires, RS;(51) 452-9620
143;Isis Caliman;Rua dos Nhambiquaras, 8093, Venâncio Aires, RS;(51) 419-1053
144;Felipe Ferreira;Rua dos Pamaris, 3655, Venâncio Aires, RS;(51) 348-6948
145;Maite Silva;Rua dos Pardais, 3715, Venâncio Aires, RS;(51) 297-4465
146;Danilo Costalonga;Rua dos Pinheiros, 9370, Venâncio Aires, RS;(51) 603-2654
147;Valentina Zandonadi;Rua dos Pintassilgos, 1771, Venâncio Aires, RS;(51) 358-6287
148;Raul Zandonadi;Rua dos Piratinins, 9422, Santa Cruz do Sul, RS;(51) 418-9588
149;Arthur Silva;Rua dos Quinimuras, 2002, Santa Cruz do Sul, RS;(51) 436-0934
150;Maria Cecilia Sossai;Rua dos Sabiás, 7095, Santa Cruz do Sul, RS;(51) 224-3916
151;Melissa Sossai;Rua dos Salgueiros, 4582, Santa Cruz do Sul, RS;(51) 536-6934
152;Ana Livia Zandonadi;Rua dos Tacaúnas, 8126, Santa Cruz do Sul, RS;(51) 361-3462
153;Nicole Salvador;Rua dos Tucanos, 6597, Santa Cruz do Sul, RS;(51) 208-6210
154;Bruna de Almeida;Rua dos Tupinas, 5388, Santa Cruz do Sul, RS;(51) 391-2379
155;Valentina Agrizzi;Rua dos Tupiniquins, 4493, Santa Cruz do Sul, RS;(51) 608-0964
156;Danilo Altoe;Rua dos Uapês, 4995, Santa Cruz do Sul, RS;(51) 308-2310
157;Ayla Botteon;Rua dos Ubiatans, 5295, Santa Cruz do Sul, RS;(51) 352-4472
158;Ryan de Souza;Rua Álvaro de Morais, 3936, Santa Cruz do Sul, RS;(51) 263-0614
159;Maria Luiza Costalonga;Antiga Estrada São Paulo Paraná, 6527, Santa Cruz do Sul, RS;(51) 289-8097
160;Joana de Almeida;Avenida 24 de Agosto, 7972, Santa Cruz do Sul, RS;(51) 227-6062
161;Ana Alves;Avenida Abaneiro, 517, Santa Cruz do Sul, RS;(51) 613-8352
